ISO2,Women,Men,Total,PopWomen,PopMen,PopTotal
AT,17.78537169,15.29790711,16.5416394,4535712,4396952,8932664
BE,14.53210167,14.14457895,14.33834031,5854293,5700474,11554767
BG,22.186365,19.08209994,20.63423247,3566833,3349715,6916548
HR,17.97022879,16.01491892,17.03912885,2071425,1964930,4036355
CY,15.33183287,13.74919205,14.54051246,458357,437650,896007
CZ,10.79618735,7.227199799,9.011693576,5323934,5170902,10494836
DK,10.72649379,10.72649379,10.72649379,2935188,2904857,5840045
EE,16.09981997,13.11082385,14.74118537,699153,630915,1330068
FI,13.54109232,12.53390363,12.98154305,2799985,2733808,5533793
FR,15.83704576,16.07519682,15.95612129,34939338,32717344,67656682
DE,17.84997638,16.14997863,16.9999775,42128512,41026519,83155031
HU,20.38657108,18.63460013,19.59022065,5066978,4663794,9730772
IE,14.93534131,12.36976121,13.65255126,2528521,2477803,5006324
IT,22.4978011,20.58761044,21.54270577,30369987,28866226,59236213
LV,19.48645362,15.7599605,17.77847761,1017998,875225,1893223
LT,20.76093157,16.39020914,18.75768379,1482082,1313598,2795680
LU,21.18924482,20.36061513,20.71574214,315274,319456,634730
MT,15.79523133,14.04990191,14.92256662,249161,266939,516100
NL,14.93129599,14.59701325,14.70844083,8788879,8686536,17475415
PL,15.11860421,14.35310527,14.73585474,19532513,18307488,37840001
PT,16.77629501,15.64530883,16.21080192,5439503,4858749,10298252
RO,26.30975468,23.98519804,25.14747636,9814072,9387590,19201662
SK,13.31041263,12.76039558,13.09040581,2793295,2666486,5459781
SI,11.88738911,9.967118559,10.97297456,1049039,1059938,2108977
ES,22.46395603,21.50577781,22.03809904,24171413,23227282,47398695
SE,16.05849671,14.7052526,15.42698279,5156448,5222847,10379295
